NUMA_Counters_1_size_1_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,341178472772,317551556826,341178473896,317551556941
numa_miss,76444415,78764266,76444415,78764266
numa_foreign,78764266,76444415,78764266,76444415
interleave_hit,53913011,48698065,53913021,48698073
local_node,341145384828,317530462850,341145385954,317530462954
other_node,109532359,99858242,109532357,99858253
NUMA_Counters_1_size_2_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,341178492668,317551587596,341178493144,317551588334
numa_miss,76444415,78764266,76444415,78764266
numa_foreign,78764266,76444415,78764266,76444415
interleave_hit,53918232,48703267,53918232,48703267
local_node,341145399677,317530493464,341145400153,317530494202
other_node,109537406,99858398,109537406,99858398
NUMA_Counters_1_size_4_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,341178512572,317551618769,341178513550,317551618932
numa_miss,76444415,78764266,76444415,78764266
numa_foreign,78764266,76444415,78764266,76444415
interleave_hit,53923385,48708400,53923385,48708400
local_node,341145414577,317530524489,341145415555,317530524652
other_node,109542410,99858546,109542410,99858546
NUMA_Counters_1_size_8_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,341178533042,317551650828,341178533531,317551651643
numa_miss,76444415,78764266,76444415,78764266
numa_foreign,78764266,76444415,78764266,76444415
interleave_hit,53928645,48713643,53928645,48713643
local_node,341145429932,317530556415,341145430421,317530557230
other_node,109547525,99858679,109547525,99858679
NUMA_Counters_1_size_16_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,341178554672,317551684057,341178555437,317551684009
numa_miss,76444415,78764266,76444415,78764266
numa_foreign,78764266,76444415,78764266,76444415
interleave_hit,53933842,48718817,53933851,48718825
local_node,341145446572,317530589469,341145447328,317530589420
other_node,109552515,99858854,109552524,99858855
NUMA_Counters_1_size_24_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,341178578383,317551716358,341178579035,317551716684
numa_miss,76444415,78764266,76444415,78764266
numa_foreign,78764266,76444415,78764266,76444415
interleave_hit,53939058,48724019,53939058,48724019
local_node,341145465226,317530621615,341145465878,317530621941
other_node,109557572,99859009,109557572,99859009
NUMA_Counters_1_size_32_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,341178602742,317551750144,341178603557,317551750470
numa_miss,76444415,78764266,76444415,78764266
numa_foreign,78764266,76444415,78764266,76444415
interleave_hit,53944282,48729219,53944282,48729219
local_node,341145484372,317530655244,341145485187,317530655570
other_node,109562785,99859166,109562785,99859166
